"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
San Locas (Patronal),Octubre,18,Junin,Concepcion,Aco,-11.95771,-75.368010,,,
San Lucas (Patronal),Octubre,18,Junin,Concepcion,Ahuac (Huarisca),-12.0858,-75.3211,,,
San Juan Bautista (patronal),Junio,4,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Cruz (patronal),Setiembre,15,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Rosa de Ocopa (Patronal),Diciembre,25,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Magdalena (Patronal),Julio,23,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de Lourdes (Patronal),Enero,11,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de Lourdes (Patronal),Febrero,11,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Cruz (Patronal),Setiembre,14,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
San Antonio de Padua (Patronal),Junio,13,Junin,Concepcion,Chambara,-12.0272,"-753,753",,,
Virgen de Cocharcas (patronal),Setiembre,15,Junin,Concepcion,Chambara,-12.0272,"-753,753",,,
Niño Jesus (Patronal),Enero,8,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
San Antonio de Padua (Patronal),Junio,13,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
Virgen del Carmen (Patronal),Julio,16,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
San Isidro Labrador (Patronal),Julio,18,Junin,Concepcion,Manzanares,-12.0161,-75.3458,,,
San Miguel Arcangel (Patronal),Agosto,11-13,Junin,Concepcion,Manzanares,-12.0161,-75.3458,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Señor de Muruhuay (Patronal),Mayo,26,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Asuncion (Patronal),Agosto,15,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Asuncion (Patronal),Movil,,Junin,Concepcion,Mito,-11.93655,-75.33803,,,
San Francisco de Asis (Patronal),Octubre,4,Junin,Concepcion,Orcotuna,-11.96892,-75.3093,,,
Virgen de Cocharcas (Patronal),Septiembre,8,Junin,Concepcion,Orcotuna,-11.96892,-75.3093,,,
San Roque (Patronal),Agosto,16,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
San Santiago de Quero (Patronal),Marzo,19,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
Santa Rosa (Patronal),Agosto,30,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
San Miguel Arcangel (Patronal),Septiembre,28,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
Santa Rosa de Ocopa (Patronal),Diciembre,25,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
San Martin de Porres (Patronal),Noviembre,3,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
San Isidro Labrador (Patronal),Septiembre,18,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
Virgen de Cocharcas (Patronal),Septiembre,8,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
Niño Jesus de Praga (Patronal),Enero,1,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Juan Bautista (Patronal),Junio,4,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Sebastian y Niño de Praga (Patronal),Movil,,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Sebastian y Niño de Praga (Patronal),Movil,,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
Virgen de Cocharcas (Patronal),Septiembre,15,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
Santiago de Leon de Chongos,Julio,25,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
Semana Santa (Tradicional),Marzo/Abril,,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
Semana Santa (Tradicional),Movil,,Junin,Chupaca,Chongos Bajo,-12.1330053,-75.2682996,,,
Virgen del Carmen (Patronal),Julio,24,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
San Juan Bautista (Patronal),Junio,4,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
San Lucas (Patronal),Septiembre,18,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
Virgen de Chapi (Patronal),Mayo,2,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
Virgen de la Merced (Patronal),Septiembre,18,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
Virgen de Lourdes (Patronal),Febrero,11,Junin,Chupaca,Chupaca,-12.062152,-75.2887917,,,
Virgen de Cocharcas (Patronal),Septiembre,8,Junin,Chupaca,Chupaca (Marcahuasi),-12.062152,-75.2887917,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Chupaca,Huachac,-12.0187538,-75.3477573,,,
San Juan Bautista (Patronal),Junio,4,Junin,Huancayo,San Juan de Iscos,-12.0983,-75.2928,,,
San Juan Bautista (Patronal),Junio,4,Junin,Huancayo,Carhuacallanga,-12.355,-75.2006,,,
Señor de Chiple (Patronal),Setiembre,15,Junin,Huancayo,Colca,-12.3178,-75.2231,,,
Virgen de la Asuncion (Patronal),Agosto,24,Junin,Huancayo,Cullhuas,-12.2206,-75.1669,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Huancayo,Chacapampa,-12.345,-75.2475,,,
Virgen del Rosario (Patronal),Setiembre,15,Junin,Huancayo,Chicche,-11.7861,-75.3817,,,
Cruz de Chilca (Tradicional),Mayo,18,Junin,Huancayo,Chilca,-12.0867,-75.2083,,,
Señor de Chilca (Patronal),Junio,29,Junin,Huancayo,Chilca,-12.0867,-75.2083,,,
Señor de la Caña (Patronal),Agosto,08-10,Junin,Huancayo,Chupuro,-12.1556,-75.2456,,,
Señor de la Caña (Patronal),Mayo,15,Junin,Huancayo,Chupuro,-12.1556,-75.2456,,,
Virgen del Carmen (Patronal),Julio,16,Junin,Huancayo,El Tambo,-12.0503,-75.2214,,,
Señor Padre Eterno (Patronal),Junio,3,Junin,Huancayo,Huacrapuquio,-12.1711,-75.2208,,,
San Roque Octava (Patronal),Agosto,16,Junin,Huancayo,Huallhuas,-11.9714,-75.2508,,,
Las Cruces (Tradicional),Mayo,1,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
San Bartolome (Patronal),Agosto,24,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Señor de la Asuncion (Patronal),Movil,,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Cruz de Villa Xauxa (Tradicional),Mayo,3,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Cruz del Cerrito (Tradicional),Mayo,2,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Las Cruces (Tradicional),Mayo,20,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Las Cruces (Tradicional),Mayo,01-02,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Las Cruces (Tradicional),Mayo,8,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Santisima Trinidad (Patronal),Junio,29,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Señor de los Milagros (Tradicional),Octubre,18,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Señor de los Milagros (Tradicional),Octubre,28,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Señor Padre Eterno (Patronal),Junio,3,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Virgen de Chapi-Iglesia Pichcus (Patronal),Abril,22-30,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Virgen de Lourdes (Patronal),Febrero,11,Junin,Huancayo,Huancayo,-12.06513,-75.20486,,,
Señor de Tayta Padre (Patronal),Junio,15,Junin,Huancayo,Huayucachi,-12.1386,-75.2236,,,
San Lucas (Patronal),Octubre,18,Junin,Huancayo,Ingenio,-11.8906,-75.2664,,,
Virgen del Pilar (Patronal),Octubre,18,Junin,Huancayo,Ingenio,-11.8906,-75.2664,,,
Señor Padre Eterno (Patronal),Junio,3,Junin,Huancayo,n.d.,-12.06513,-75.20486,,,
Semana Santa (Tradicional),Marzo/Abril,*,Junin,Huancayo,n.d.,-12.06513,-75.20486,,,
Todos los Santos (Tradicional),Noviembre,1,Junin,Huancayo,n.d.,-12.06513,-75.20486,,,
Navidad (Tradicional),Diciembre,25,Junin,Huancayo,n.d.,-12.06513,-75.20486,,,
Santo Domingo de Guzman (Patronal),Agosto,4,Junin,Huancayo,Pariahuanca,-11.9808,-74.8967,,,
Las Cruces (Tradicional),Mayo,26,Junin,Huancayo,Pilcomayo,-12.0494,-75.2506,,,
Las Cruces (Tradicional),Mayo,26,Junin,Huancayo,Pilcomayo,-12.0494,-75.2506,,,
San Cristobal (Patronal),Setiembre,16,Junin,Huancayo,Pilcomayo,-12.0494,-75.2506,,,
Virgen de Cocharcas (Patronal),Setiembre,15,Junin,Huancayo,Pucara,-12.1722,-75.1453,,,
San Cristobal de Pucara (Patronal),Mayo,4,Junin,Huancayo,Pucara,-12.1722,-75.1453,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Huancayo,Pucara,-12.1722,-75.1453,,,
Virgen de la Candelaria (Patronal),Febrero,2,Junin,Huancayo,Pucara,-12.1722,-75.1453,,,
San Isidro Labrador (Patronal),Setiembre,07-10,Junin,Huancayo,Quichuay,-11.88954,-75.28842,,,
Virgen de la Natividad (Patronal),Setiembre,07-10,Junin,Huancayo,Quichuay,-11.88954,-75.28842,,,
San Pedro de Quilcas (Patronal),Julio,6,Junin,Huancayo,Quilcas,-11.9380665,-75.2609825,,,
San Roque Octava (Patronal),Agosto,16,Junin,Huancayo,Quilcas,-11.9380665,-75.2609825,,,
San Isidro Labrador (Patronal),Julio,18,Junin,Huancayo,San Jeronimo de Tunan,-11.9491929,-75.2844143,,,
San Jeronimo (Patronal),Setiembre,30,Junin,Huancayo,San Jeronimo de Tunan,-11.9491929,-75.2844143,,,
San Roque (Patronal),Agosto,16,Junin,Huancayo,San Jeronimo de Tunan,-11.9491929,-75.2844143,,,
Santo Domingo de Guzman (Patronal),Agosto,4,Junin,Huancayo,Santo Domingo de Acobamba,-11.76892,-74.79426,,,
Las Cruces (Tradicional),Mayo,1,Junin,Huancayo,Sapallanga,-12.148424,-75.1587582,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Huancayo,Sapallanga,-12.148424,-75.1587582,,,
Santisima Trinidad (Patronal),Movil,,Junin,Huancayo,Sapallanga,-12.148424,-75.1587582,,,
Santo Cristo (Patronal),Agosto,24,Junin,Huancayo,Sapallanga,-12.148424,-75.1587582,,,
Virgen de Cocharcas (Patronal),Setiembre,8,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
Niño Jesus (Patronal),Enero,1,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
Santo Domingo de Guzman (Patronal),Agosto,4,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
Santa Barbara (Patronal),Diciembre,4,Junin,Huancayo,Sicaya,-12.016655,-75.2783203,,,
San Agustin (Patronal),Setiembre,1,Junin,Huancayo,Viques,-12.1621846,-75.2292252,,,
Virgen del Pilar (Patronal),Octubre,11,Junin,Huancayo,Viques,-12.1621846,-75.2292252,,,
San Juan Bautista (Patronal),Junio,4,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
San Juan de Dios (Patronal),Agosto,2,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Semana Santa (Tradicional),Marzo/Abril,Movil,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Semana Santa (Tradicional),Movil,,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Virgen de la Asuncion (Patronal),Agosto,15,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Virgen de las Nieves (Patronal),Agosto,05-08,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Virgen de las Nieves (Patronal),Agosto,8,Junin,Jauja,Acolla,-11.729762,-75.550753,,,
Virgen de Cocharcas (Patronal),Setiembre,8,Junin,Jauja,Apata,-11.8545,-75.3522,,,
Cruz de Mayo (Tradicional),Mayo,15,Junin,Jauja,Ataura,-11.8026768,-75.4414737,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Jauja,Ataura,-11.8026768,-75.4414737,,,
Virgen de la Natividad de Cocharcas (Patronal),Setiembre,15,Junin,Jauja,El Mantaro,-11.8221,-75.39191,,,
Virgen del Rosario (Patronal),Octubre,15,Junin,Jauja,El Mantaro,-11.8221,-75.39191,,,
San Cristobal (Patronal),Julio,25,Junin,Jauja,Huaripampa,-11.8078,-75.4711,,,
San Isidro Labrador (Patronal),Mayo,15,Junin,Jauja,Huaripampa,-11.8078,-75.4711,,,
San Miguel Arcangel (Patronal),Setiembre,29,Junin,Jauja,Huaripampa,-11.8078,-75.4711,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Jauja,Huaripampa,-11.8078,-75.4711,,,
Virgen de la Candelaria (Patronal),Enero,01-02,Junin,Jauja,Huaripampa,-11.8078,-75.4711,,,
Santa Ana (Patronal),Agosto,2,Junin,Jauja,Huertas,-11.76,-75.4697,,,
Santa Rosa (Patronal),Agosto,30,Junin,Jauja,Huertas,-11.76,-75.4697,,,
Virgen del Carmen (Patronal),Agosto,15,Junin,Jauja,Janjaillo,-11.7644,-75.6103,,,
Señor de Agonia (Patronal),Mayo,1,Junin,Jauja,Janjaillo,-11.7644,-75.6103,,,
Virgen del Rosario (Patronal),Octubre,12-13,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Bajada de Reyes (Tradicional),Enero,06-30,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Cruz de Espinas (Tradicional),Mayo,17,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Las Cruces (Tradicional),Mayo,1,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
San Francisco (Patronal),Octubre,24-30,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
San Judas Tadeo (Patronal),Octubre,24-30,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Virgen Chapetona (Patronal),Octubre,25,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Virgen del Rosario (Patronal),Octubre,20,Junin,Jauja,Jauja,-11.77584,-75.49656,,,
Bajada de Reyes (Tradicional),Enero,25-30,Junin,Jauja,Julcan,-11.7592,-75.4353,,,
Señor de Muruhuay (Patronal),Mayo,27,Junin,Jauja,Julcan,-11.7592,-75.4353,,,
San Antonio de Padua (Patronal),Junio,13,Junin,Jauja,Leonor Ordoñez,-11.8642,-75.4136,,,
Santa Rosa (Patronal),Agosto,30,Junin,Jauja,Llocllapampa,-11.8175,-75.6239,,,
Maria Magdalena (Patronal),Julio,22,Junin,Jauja,Marco,-11.7406,-75.5611,,,
Niño Jesus (Patronal),Enero,1,Junin,Jauja,Marco-Tragadero,-11.7406,-75.5611,,,
San Juan Bautista (Patronal),Junio,4,Junin,Jauja,Masma,-11.7861,-75.3817,,,
San Juan de Dios (Patronal),Agosto,2,Junin,Jauja,Masma,-11.7861,-75.3817,,,
Señor de Animas de Paca (Patronal),Mayo,24,Junin,Jauja,Masma,-11.7861,-75.3817,,,
Virgen de las Nieves (Patronal),Agosto,5,Junin,Jauja,Masma,-11.7861,-75.3817,,,
Virgen de las Mercedes (Patronal),Setiembre,24-28,Junin,Jauja,Muqui,-11.8333,-75.435,,,
Cruz de Mayo (Tradicional),Mayo,1,Junin,Jauja,Muquiyauyo,-11.8139,-75.4539,,,
Niño Jesus (Patronal),Diciembre,25,Junin,Jauja,Muquiyauyo,-11.8139,-75.4539,,,
Semana Santa (Tradicional),Marzo/Abril,Movil,Junin,Jauja,Muquiyauyo,-11.8139,-75.4539,,,
Semana Santa (Tradicional),Marzo/Abril,*,Junin,Jauja,Muquiyauyo,-11.8139,-75.4539,,,
Semana Santa-Domingo de Ramos (Tradicional),Marzo/Abril,*,Junin,Jauja,n.d.,-11.77584,-75.49656,,,
Virgen de las Nieves (Patronal),Agosto,5,Junin,Jauja,Paca,-11.7092,-75.5183,,,
Cruz de Huanca (Tradicional),Mayo,1,Junin,Jauja,Paccha,-11.8544,-75.5072,,,
Santa Rosa de Lima (Patronal),Setiembre,06-08,Junin,Jauja,Pancan,-11.7489,-75.4861,,,
San Antonio de Padua (Patronal),Junio,13-18,Junin,Jauja,Parco,-11.8011,-75.5428,,,
Cruz de Mayo (Tradicional),Mayo,27,Junin,Jauja,Pumananca,-11.1590,-75.99304,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Jauja,San Pedro de Chunan,-11.7256,-75.4864,,,
San Roque (Patronal),Agosto,16,Junin,Jauja,Sincos,-11.8914,-75.3869,,,
San Juan Bautista (Patronal),Junio,4,Junin,Jauja,Tunanmarca,-11.72976,-75.57079,,,
Virgen de Cocharcas (Patronal),Setiembre,15,Junin,Jauja,Tunanmarca,-11.72976,-75.57079,,,
Virgen de la Natividad (Patronal),Setiembre,15,Junin,Jauja,Tunanmarca,-11.72976,-75.57079,,,
Virgen de la Natividad (Patronal),Setiembre,15,Junin,Jauja,Yauyos,-12.46388889,-75.92333333,,,
San Lucas (Patronal),Octubre,18,Junin,Jauja,Yauyos,-12.46388889,-75.92333333,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Jauja,Yauyos,-12.46388889,-75.92333333,,,
Señor de Muruhuay (Patronal),Mayo,01-31,Junin,Tarma,Acobamba,-11.35296,-75.66027,,,
San Agustin (Patronal),Setiembre,15,Junin,Tarma,San Pedro de Cajas,-11.2492,-75.8628,,,
San Agustin (Patronal),Agosto,28,Junin,Tarma,San Pedro de Cajas,-11.2492,-75.8628,,,
San Juan Bautista (Patronal),Junio,24,La Libertad,Ascope,Ascope,-7.71361,-79.1072,,,
Señor de la Misericordia (Patronal),Setiembre,15,La Libertad,Bolivar,uchumarca,-7.04709,-77.80326,,,
Semana Santa (Tradicional),Marzo/Abril,Movil,La Libertad,Chepen,Chepen,-7.22858,-79.42772,,,
San Juan Bautista (Patronal),Junio,24,La Libertad,Julcan,Julcan,-8.0748,-78.6075,,,
Virgen del Carmen (Patronal),Julio,18,La Libertad,Otuzco,Charat,-7.82359,-78.44769,,,
Virgen de la Puerta (Patronal),Diciembre,15,La Libertad,Otuzco,Otuzco,-7.90248,-78.56567,,,
San Pedro y San Pablo (Patronal),Junio,29,La Libertad,Pacasmayo,Pacasmayo,-7.40027778,-79.57,,,
San Isidro Labrador (Patronal),Mayo,,La Libertad,Sanchez Carrion,Chugay,-7.78236,-77.86762,,,
Virgen de la Alta Gracia (Patronal),Agosto,16,La Libertad,Sanchez Carrion,Huamachuco,-7.81544,-78.04865,,,
Santa Rosa de Lima (Patronal),Agosto,30,La Libertad,Santiago de Chuco,Angasmarca,-8.13275,-78.05531,,,
Santa Rosa de Lima (Patronal),Agosto,30,La Libertad,Santiago de Chuco,Cachicadan,-8.09463,-78.1489,,,
Virgen del Carmen (Patronal),Setiembre,24,La Libertad,Santiago de Chuco,Santa Cruz de Chuca,-8.12028,-78.1422,,,
Virgen del Rosario (Patronal),Octubre,23,La Libertad,Santiago de Chuco,Santiago de Chuco,-8.14528,-78.1736,,,
San Santiago (Patronal),Julio,25,La Libertad,Trujillo,Chicama (Chiclin),-7.84343,-79.14489,,,
Señor de la Caña (Patronal),Junio,,La Libertad,Trujillo,Huanchaco,-8.07945,-79.11992,,,
Virgen del Rosario (Patronal),Diciembre,,La Libertad,Trujillo,Moche,-8.17061667,-79.00943056,,,
Cristo Rey (Tradicional),Agosto,6,La Libertad,Trujillo,Moche,-8.17061667,-79.00943056,,,
San Isidro Labrador (Patronal),Abril/Mayo,,La Libertad,Trujillo,Moche (Huaman),-8.17061667,-79.00943056,,,
Señor de Huaman (Patronal),Mayo,,La Libertad,Trujillo,Viru,-8.41427,-78.75209,,,
Santa Catalina (Patronal),Noviembre,28,Lambayeque,Chiclayo,Chongoyape,-6.64356,-79.3851,,,
Cruz de Mayo (Tradicional),Noviembre,29,Lambayeque,Chiclayo,Chongoyape,-6.64356,-79.3851,,,
Niño del Milagro (Patronal),Enero,22,Lambayeque,Chiclayo,Eten,-6.910903,-79.863158,,,
Niño del Milagro (Patronal),Julio,22,Lambayeque,Chiclayo,Eten,-6.910903,-79.863158,,,
Santa Maria Magdalena (Patronal),Julio,22,Lambayeque,Chiclayo,Eten,-6.910903,-79.863158,,,
Señor de la Buena Muerte (Patronal),Noviembre,2,Lambayeque,Chiclayo,Eten,-6.910903,-79.863158,,,
Todos los Santos (Tradicional),Noviembre,,Lambayeque,Chiclayo,Eten,-6.910903,-79.863158,,,
Virgen del Carmen (Patronal),Julio,16,Lambayeque,Chiclayo,Jose Leonardo Ortiz,-6.7602444,-79.8355448,,,
Navidad (Tradicional),Diciembre,25,Lambayeque,Chiclayo,Lagunas (Cupi),-6.990054,-79.62179,,,
Santisima Cruz de ucupe (Tradicional),Mayo,4,Lambayeque,Chiclayo,Monsefu,-6.87431,-79.86871,,,
San Andres Corsino (Patronal),Febrero,4,Lambayeque,Chiclayo,Monsefu,-6.87431,-79.86871,,,
Santisima Cruz de Chaplon de Olmos (Tradicional),Agosto,10,Lambayeque,Chiclayo,Monsefu,-6.87431,-79.86871,,,
Señor Cautivo de Ayabaca (Patronal),Julio,20,Lambayeque,Chiclayo,Monsefu,-6.87431,-79.86871,,,
Señor Cautivo de Monsefu (Patronal),Marzo,14,Lambayeque,Chiclayo,Monsefu,-6.87431,-79.86871,,,
Santisima Cruz de Chaplon de Olmos (Tradicional),Febrero,5,Lambayeque,Chiclayo,Motupe,-6.77137,-79.84088,,,
Virgen de Fatima (Patronal),Mayo,11,Lambayeque,Chiclayo,Nueva Arica,-6.87417,-79.343,,,
San Juan (Patronal),Junio,24,Lambayeque,Chiclayo,Oyotun,-6.84611,-79.2983,,,
San Martin de Porres (Patronal),Noviembre,18,Lambayeque,Chiclayo,Patapo,-6.73556,"-79.,6347",,,
Virgen de los Dolores (Patronal),Abril,18,Lambayeque,Chiclayo,Picsi,-6.71778,-79.76972,,,
Virgen del Carmen (Patronal),Julio,16,Lambayeque,Chiclayo,Pimentel,-6.83528,-79.9358,,,
Cruz de Mayo (Tradicional),Mayo,1,Lambayeque,Chiclayo,Pucala,-6.78194,-79.6122,,,
Cruz de Mayo (Tradicional),Mayo,3,Lambayeque,Chiclayo,Puerto Eten,"-692,556",-79.8661,,,
Sagrado Corazon (Patronal),Junio,4to. Domingo,Lambayeque,Chiclayo,Puerto Eten,"-692,556",-79.8661,,,
San Martin de Thours (Patronal),Mayo,10,Lambayeque,Chiclayo,Reque,-6.865,-79.8192,,,
San Martin de Thours (Patronal),Noviembre,11,Lambayeque,Chiclayo,Reque,-6.865,-79.8192,,,
San Martin de Thours (Patronal),Mayo,13,Lambayeque,Chiclayo,Reque,-6.865,-79.8192,,,
Año Nuevo (Tradicional),Enero,1,Lambayeque,Chiclayo,Santa Rosa,-6.75772,-79.82747,,,
San Jose (Patronal),Marzo,19,Lambayeque,Chiclayo,Santa Rosa,-6.75772,-79.82747,,,
Santa Rosa de Lima (Patronal),Octubre,18,Lambayeque,Chiclayo,Santa Rosa,-6.75772,-79.82747,,,
Santisima Cruz de Chaplon de Olmos (Tradicional),Febrero,9,Lambayeque,Chiclayo,Santa Rosa,-6.75772,-79.82747,,,
